id,text,label
78,sjmofokeng25 and berry2516 dumelang bo ntate kgopelang 10odds ke nale r1000 that i want to turn into r10 000 kopa re berekeng today,unknown
79,good morning sanibonani molweni dumelang goeie mrehave an astonishing saturday staysafe,unknown
80,dumelang tuu,unknown
81,dumelang ba di 25,unknown
82,dumelang bo ausi ba batswana,unknown
83,dumelang,unknown
84,mohaleza dumelang sanibona,unknown
85,uniquetumz wena ur kids are fine ke bua ka thse who cnt even say dumelang yet both parents ke bantsho,unknown
86,eish dumelang,unknown
87,majita basadi ba nyaka banna ko fb facebook village le seke la makala ga re ntsha di datedumelang,unknown
88,we are praying for protection peace strength and guidancedumelang hle have a lovely day,unknown
89,siphiwe07690967 ba kae bo acdp le bo udmrevolution le bo dumelang bagaetshowr hv soo many parties in sa which are only visible ka di elections,unknown
90,dumelang le baloyi say somethingeks the money is dlozifiedgroovewithmphobbmzansi,unknown
91,dumelang thibosmokone wa ratuwa ka moona sharpeville rooisteeene ditwebeng reo jele ka tsebe lentja lakatseratwang lesedifm bundleofjoy,unknown
92,magnumopus89 uluyandagama dokoteladoc lol lo rata go sheba diposo man what if mans dont like being served with a tray,unknown
93,mokgadiheart happy birthday to the legendary ya kgaoga thapo ngwanaka,unknown
94,thotlanizer mara o nyaka ge ke nyala mo o bitse phutimarua a o thushe gore le kgoke thebegadi1 alimogashoa beam10550983 ronaldmohlala ka thapoba tlo ntiela hlaphiane,unknown
95,e simolotse afronation ba itirile easy b,unknown
96,omogwe we itirile university o gaana batho,unknown
97,bubbles0289 waitse ke ne ke itirile rockstar,unknown
98,not thembisa making me nervous hape im rooting for her and i hope she didnt burn that stew in a bad way masterchefsa,unknown
99,haibo thembisa too masterchefsa,unknown
100,yho pressure test happy for thembisa though masterchefsa,unknown
101,what a sunday in midranda gangster who served 15 years came back to be rearrested in thembisareleased on bail his father got arrested on another matter he then went to court and held the magistrate hostage claiming he wont have an ancestor who has a criminal record,unknown
102,hi ladies am your girl phathutshedzoavailable for your hair do at any time house calls also available around johannesburg midrand thembisa kempton parkisando bluehills vorna valley noordwyk amp pretoria callwhatsapp 0764143016 for more girlstalkza girlsplanet999,unknown
103,meanwhile in thembisa,unknown
104,oleduiker thats not limps but thembisa,unknown
105,luyanda thembisa and onti,unknown
106,thamitzz qinisothole wayi thembisa ini,unknown
107,alfavina vina seema dint like that thing of spying sundowns under ground by alalhly now dija wena,unknown
108,seema if you gaurd the transition and wait for the 2nd balls theyll resort to setpieces,unknown
109,seema ball in full flow,unknown
110,ke batla go experiencer bo patlo le go ntshetswa magadi and a traditional wedding full of old women in ditale but im ghe,unknown
111,papa go mathari im gna enjoy magadi,unknown
112,kmasusu le lona nyalegang mahn gape ladies these days act funny youd think twice before you take out magadi straight,unknown
113,o bata a tisa magadi thembabroly thembatheghost bbmzansi,unknown
114,bathong process ya magadi,unknown
115,ke file motho waka deposit ya magadi r50 eo is enough to encourage him,unknown
116,onniemotswasele nna le nna ke itlhobogile,unknown
117,germantankbw kana ke homeboyowaii ko gae re itlhobogile ka modumo ong,unknown
118,slangenii wa ntlwaela kgwathe ke wenabanana ba utswa madi o tla o akga loleme ware nna ke tlola tlole mo twitter ke itiela nako simolla ka ba ba utswang madi ka bonana nna ke itlhobogile akere le bereka go leleka bone bo khama ke ha o ile bpf mmankateng ke wena,unknown
119,jah noo le bana ba majakane mafra sese,unknown
120,mopediomongwe lehono ge re rapela modimo wa go no araba for mokalapas sake,unknown
121,lindiamaira le jele monate lehono kgadi lindiamaira telkomone brings you igumbi lamakhosikazi every monday at 21h00 on sabc 1 musa mselekus beautiful wives empower women through conversation by unpacking family relationship and social issues watch here,unknown
122,sa le a tsamaya maobane a re o ilo roga baby daddy o bowa lehono penty e hlanotwe,unknown
123,im graduating next week wednesday n i dont even have money to hire a gown but my a dress or shoes i dont even want to mention make up n hair do bophelo ke ntwa shame bigbrothermzansi,unknown
124,naledimogadime bophelo bo monate babes,unknown
125,juksafrika bophelo ke ntwa,unknown
126,nkanyisongqulu unisa sesi golo ke bophelo kreste ke morena,unknown
127,bophelo bo bothatha but ra bo fosta,unknown
128,teboho moloi are bophelo ke wena fela,unknown
129,bophelo ke fitted sheet,unknown
130,dankieslimfit drphomolo was about to say that bro gauta ke bophelo,unknown
131,falatsi18 bophelo bohle baka ke tla be ke qala ene gladly so,unknown
132,thebesttinthecity ke unclet tboseza chipville home of good music kayaonair house music is life bophelo,unknown
133,happy birthday lesegoaries modimo ago segofatse ago okeletse matsatsi a bophelo tsotlhe tse di ntle le tse di molemo di go apare ka metlha le ka matsatsi tlhola sentle ausi,unknown
134,lesegoaries happy birthday to you lesego o gole o gole modimo ao okeletse matsatsi a gago a bophelo le mahlatse le mahlogonolo,unknown
135,e mongwe a ya txo e clocka salary ya gagwe mara ete e fedilebophelo ke scam,unknown
136,dira peace with everything otla bona gore bophelo bo monate,unknown
137,macbethmoletja bathong nkagorata bophelo baka kamoka,unknown
138,ngwanes0 eish my love bophelo bo ke ntwamara ho lokilei am healing my love thank you,unknown
139,bophelo,unknown
140,e tsowe ele thata jwalo ka bophelo,unknown
141,bophelo ka fathuku,unknown
142,modimo a tshireletse bophelo ba nhlanhlalux,unknown
143,lesedifm skeemsadrive kagisosebudi ledisosky dikeledidkay thibosmokone skeemsadrive gospelwednesday djmatjato skeemsadrive le hara dipula tsena le ntse le kgona ho re beha hantle dj matjato ke leboha ntate modimo ka bophelo ba hao maphelong arona skeemsadrive,unknown
144,zhitovic happy birthday bra yaka modimo a be le wena a go okeletse matsatsi a bophelo masego le matlhogonolo,unknown
145,ay bophelo,unknown
146,bophelo ke di wig tsa khanyi kadlala guys leng mpotsa eng fela,unknown
147,bophelo ba ba bang ba hoseng ke bophelo ba litoro tsa ka lona le tsooa hamonate hore,unknown
148,evelynbuang lol bophelo ba pta though,unknown
149,blaqwill lettiemolefe1 ga le serious ka bophelo bja mothomongwe neh,unknown
150,dweshtharascal bophelo ke ntwa,unknown
151,yes everyday ke bophelo bo ke bo deserveang,unknown
152,bophelo ke ntwa but re masole,unknown
153,matla sona ke bophelo,unknown
154,bophelo ha se life,unknown
155,loveandflyshit thank you bophelo,unknown
156,motswedingfm 228mkp kgotsong mkpo tloga o le master ya mmino gabotse thwiie fela o dira letxatxi la lamorena gore e be lona ka mmino fela motho a tswa dipalabalong tsa bophelo ka wena le motswedingfm bona o botxe dj papa gore wa kgona le yena frans mantsha bapela ex6 mums,unknown
157,luschza mhaadahmvov swaggnoyanda baksvg753047 aquabae7 i can imagine hle kgaitsedi yaka fela hee ke bophelo,unknown
158,tumisole se segolo ke bophelo ngwana papa,unknown
159,ziphophasphas nnya lo buang ha lo lapile ke bophelo,unknown
160,o kang nyatsa mara o tla kgalemela ke bophelo my skat,unknown
161,it doesnt matter where you are in south africa were here for you sell your preowned car and open new doors in your life at bophelomotors whatsapp us on 083 673 9125 or visit our website,unknown
162,sesamem nnyaa mme o motshwere sentle phuti sesame for president,unknown
163,shinenkoana well done champ phuti,unknown
164,shinenkoana awesome run phuti,unknown
165,dumela buti phuti lekae,unknown
166,phuthi53050848 pumpumradebe no phuti south africa is not at that level trust me,unknown
167,shinenkoana ichoose2bactive thank you phuti,unknown
168,leobah23 bana ba mong wame batho bo phutii hope ba letse sente,unknown
169,shinenkoana ichoose2bactive ke a leboga phuti,unknown
170,lelomzaca game yela ya chiefs le barokafinal league game conversationfriday snlwa,unknown
171,boitshepolebo ayeeshaliquor bona reward yela ne ele yona,unknown
172,promisemrslaw i unfaithful and yela ya rihanna,unknown
173,sunraysandstuff ke yela magwina le tlhapi,unknown
174,lkeletjo blackza otsebe o phela o nale di excuse o nyako mpotsa gore o rekile di savanah tse ne o dinwa ka chelete yela ya mohlagase,unknown
175,koa yela ya manyalo ya dilo setofong ke yona maan what a jam,unknown
176,i just like how the others arent even bothered baziqhubekela neparty njemara nalokeke wakhona ayy bandlawarona wazidjyela nkosh wam loveydovey,unknown
177,omphilesdad bantuholomisa davidmvm missboitumelom tladi butleng banna,unknown
178,bafanas waitse pain eo sa e feel thats how i feel i hope ke tla itshwara sentle nako e ke mmonang,unknown
179,cassimmasola khuduga gabadela7 donno5 im not gonna repeat that it had nothing to do with efflena you think everyone is after eff why daiman heard please just because mokgalabje is an eff member he didnt have to go search the house ya di warrant keya ekwa mara,unknown
180,ttaaso weve been through this ha ke tlo pheta mathata aka,unknown
181,stefftefo ola tefo,unknown
182,maratumelo ka mehla,unknown
183,re leboga thekgo go letlakala la rena la twitter 1001 likes tswelang pele go latela matlakala a rena a dikgokaganyo tsa leago go twitter le facebook hlwayang tsebe ka mehla go moshate wa tsebo le boithabiso ka mehla sabcditaba moshate ditabatsasepedi,unknown
184,pancakkkesss ka mehla,unknown
185,djbigboysa motswedingfm remmino re mmogo ya lla radio mo majakaneng 910 bigger go gola boitumelo mariri ko midrand sam mosesane ko shaleng le lydia maake ko hekpoort ba gole ba gole,unknown
186,jimakitla ne gole monate moes entlek bula space,unknown
187,cathrin61380161 those were the fats hey ne gole monate gore,unknown
188,prwttyscholar ha ke itse gore kamoso gone taabo gole jwang,unknown
189,theokingb happy birthday man modimo a twele pele go hlogonolofata go ya go ile a be a phethegate ditoro ta gago ka moka o aparele ke lerato le lethabo bophelong o gole o gole,unknown
190,yessis ne gole monate daar,unknown
191,theopinion8d1 happy birthday to you hope you having a wonderful dayo gole o gole,unknown
192,platnumplato yoh rra ha go sa tlhole gole bonolo,unknown
193,harveykarts ne gole monate maabane,unknown
194,a o gole mokgatlho wa batho,unknown
195,nne gole derby ya bakwena,unknown
196,zahmokoena kodwa oxolo nabo,unknown
197,beatingherunder atleast ill be good nabo bazoba grend,unknown
198,rhaduuxesibe yep plastic surgeons need to eat nabo,unknown
199,babyyod88721982 phathekapat thing is these ones are too clever once you relax nabo the scurl,unknown
200,abazali nabo,unknown
201,so dstv and supersport decided to show us bo georgia luxembourg nabo romania instead of our afcon cafonline teams on their crucial matches egysen the more reason im sticking to iptv,unknown
202,nangamsonm aww sengathi unkulunkulu angawongamela umsebenzi kusasa nabo oma babe amathongo amahle konke kuhambe kahle,unknown
203,michaelbucwa mina ngi sase nabo o jikeleza ziyakhala namanje nu 5 to 29 nase wells sekuyi r15 buya,unknown
204,its that moment i declare beeroclock muryoherwe aho muri nabo muri kumwe please remember drink in a responsible manner,unknown
205,zimasamatiwane someone from kzn said this was just an eastern cape thing to me kanti nabo bayayenza,unknown
206,oksalayo abantu nabo,unknown
207,lapotter1226 mlandvomkhonta phela mine ngikule panel yaka education bomatsenjwa nabo mbuyazwe,unknown
208,maybe thats why imidlalo eyaba mnandi efana nabo ayeye yaba yiseason yinye,unknown
209,abazali nabo badinga i counsellingngeke uvuke ngo 5am uvulele iradio nge max volume,unknown
210,hlathisidwell nhlanhla uhamba nabo ngomgca,unknown
211,fisosays right nabo bazo posta yaz,unknown
212,sindilem95 sliez0 abazali nabo bayahlupha,unknown
213,what if inina eni wrong ngoba nabo babona ni wrong yini enenza nibe right nina and not bona,unknown
214,suffo71 abazali nabo,unknown
215,sigujanaza when days are darkfriends are fewbayasaba phela nabokusuke kumnyama,unknown
216,sizophilaxhoko hhayi nabo abanciphise,unknown
217,i enjoy those crime doccieseries on the dstv channel 171 so much i literally watch them until i forget noba bendenza ntoni ke re bo forensics nabo autopsy,unknown
218,lahadebe manje nabo syabafaka under professions,unknown
219,lxngelo haii nabo,unknown
220,that story ka macg sol amp the tom cruise swindler is so funny kodwa nabo though you can hear this was not legit from the beginning they just got excited by the possibility of meeting tom cruise and all logic left the roompodcastandchillwithmacg,unknown
221,lesatshabz angibasabi abantu nabo mos,unknown
222,mxm nabo ke abantu be25 sebeqalisa ujama uve xa umfowunela uyakugqagqanisela,unknown
223,lozaah nabo olimise,unknown
224,rooundy baphinde bayenze worse bohlukane nabo hayi,unknown
225,victormolefe molo bhuti victor baxter hayikhona imehlulile chiefs akamukele challenge asiphumele naturena ayikho lento yakhe le defensive yakhe noba sesishaywa yoloku efakana nabo nama defenders cha ngiyambonga mina ngokwami nje uyayidinda immediately effect ye email ukhozifm,unknown
226,vsobudula they are insecure nabo,unknown
227,thandoluthuli9 tysonnyathii thegyal zimasabuhle the ones i know are married and happy get that qha we see these things yourl think nazi yonkinto nina anazi lutho unless nijola nabo ke,unknown
228,if they going to ge emotional about how people feel then they are not fit enough to be your cohosts phela nabo this is not their space they found the space here sibadala for attitude,unknown
229,theysaythankyou lol sitters you said id leave nami than to play nabo saka,unknown
230,mvelodlamini ey kodwa nabo ngempela not even 1,unknown
231,trevorkamoto bongs86535707 manchimarebane vngalwana a lot of people still use pcm i know most students do them and even elders since i spend time nabo hence he shouldnt settle for less than what he thinks he deserves,unknown
232,tafitty we bought 2 left back hlanti and mabiliso bafana material 2 full center back dube n ngcobo 2 center middle cole nd nange but sill you prefer abo mathoho nabo parker,unknown
233,abakuyeke ngoba nabo awuba judge,unknown
234,zodwa nabo 1 heeee loveydovey,unknown
235,tryna shazam games jesus piece album and i find nothing ngabe waphoca bani lomjita to the extent they dont dont want money made of him i need to know those people people mine nabo siyafana,unknown
236,thabiler6 sce42653766 ntokozokangema mamellotq hlelalulubel mapzzee aquabae7 os78 kabelodick ngiyadelelwa struu i must stop watching f1 qualifying ngizobukana nabo vhomakhado women are trashwangi nyontsa sjoe uyangikuklwa wangi nyontsa,unknown
237,konkalive chilling nabo bro silalele isghubhu ecpt kabzaumsholozi,unknown
238,gash 1 phela a lahla lehlakore bbmzansi,unknown
239,keletsovionah eh sesi the lies were too many ke nyaka go ngwala list,unknown
240,hluliey lol maswi vona ku ti ndlela ta xikwembu ahita vanhu,unknown
241,kgeremolla mokone wa nti dikgolo motho wa thokwe le lwale wa go hlapa ka maswi are ka meetse ke thaba go paologa robala phuthi,unknown
242,zikhonamak e seng thuli,unknown
243,sengkhathele ilendodangicela onenumber yalobaba angithumelele yona clearly akakhethi ukuthula ubaba ukfc lo,unknown
244,fifimakoko ke raa gore o tshege kgang eo o hole e seng go ntirela matlho jaana on a serious note,unknown
245,mybeastovio o tsa di sub tse seng tsago but yes youre hilarious,unknown
246,fk1hunnid nyaa tsala e seng thato,unknown
247,machesetsals also whether or not he was genuinely helping out or campaigning ha re tlo iphapanyetsa taba ea hore his help holds more weight than all of u combined ka chelete tse seng tsa lona in the first place from his own pocket also everybody is free to join so why eka le hurt,unknown
248,e seng di withdrawal tse ba ntse ba bona gore o broke,unknown
249,sammatekane has really shook this country khalefo e kantle ka moo trust me uncle must get body guards people are fuming out here in parliament on the streets on social mediaba bang u tla ba utloa ka joke tse seng funny hore motho oa opeloa shamemoruo,unknown
250,tshonki1tshonki e seng nna,unknown
251,xovli e seng jaana,unknown
252,madzanehangwi not so loud senghembe,unknown
253,kuanele e seng tjopeng,unknown
254,mara why malome e seng rakgadi goba mamogolo,unknown
255,we want real drama e seng di prank ba bora bbmzansi,unknown
256,i believe that musicians should say it loud when they take an early retirementwhere is shota sengkhatheleor indeed sekhathele,unknown
257,dear dlozi sengfuna ukuba ibad bitch manjeyours truly mtanakho,unknown
258,unothando at least sengyazifb nyana and pls check your dms,unknown
259,nthabeykstyles sizwedhlomo i dont think god will take that prayer seriously unless you are referring to a god that we dont know about a true believer would know that forgiveness is what the bible teaches us e seng this cursing people that you are talking about get help sis,unknown
260,sambatmelambat dari mercone lah dr seng awale kecil pas dibakar dee membentuk,unknown
261,kagiesure e seng nna tsame ke a go shwa ka tsone ke story se se telele mara traebeke e ntsi,unknown
262,i cant live without youe batla o e jwetse mokotla wa phofo e seng motho,unknown
263,peacemakinita ke blomile outside drinking savivi seng trapa 1 man,unknown
264,fikzthecook bayangnyanyisa laba uma ngidla ucrayfish sengzoletha enye icovid,unknown
265,e seng wena,unknown
266,zamojochum e seng yaba ratane tlhe,unknown
267,lethabolejoy fisha tshiri tshiri,unknown
268,djtezzsa ha ke kgolwe ill be coming home for easter,unknown
269,one thing about gd6 owners beisa feela u bo na fete u tlo bone ha ba batla ho provea point like sir im not tryna race with you im just in a hurry,unknown
270,kabelodick johnmphatsoe iamph otenglamola kopa o fete mo,unknown
271,i just woke up to this one crying theres a family meeting ko tv room i am gonna open my laptop and take out books ditaba hading fete,unknown
272,o ska ba tla rustenburg tlhabane wa se fete ka mo,unknown
273,theswitchza ong fete fela haong pona utlwa,unknown
274,owai nkare o palelwa ke e ntsho chaisa nfana,unknown
275,ye wena mfana le bo ntsho etla mo i miss my dad today,unknown
276,on friday i decided i wont work from home no more i nearly forgot what a great asset i am kana company ele nee bolaile faktap aah no we cruising,unknown
277,benzema ore bolaile straight,unknown
278,killerpassbots eish mochudicc hard luck lack of concentration e re bolaile nxt tym bafe2,unknown
279,nonyane e simolla kago aga motse b4 e belegaska kwata hao nonyane,unknown
280,onwa escapelle then jiki jiki after 9months o belega ngwana,unknown
281,mphomangole1 kgadiza bare ge dikgomo di re moo mo baneng eraa gore nooo man haikhona,unknown
282,your becoming relevant now focus on this man then ke bona a come backereng lux soap mo baneng bathate boyzen this suit boys,unknown
283,malekeselina sabbymasabi nthabipule mbosommolawa khanasthabiso lesedifm realjonito cadamgaga twasagirl disaroboro nyakallomtolo realsechoala6 willymasoa neo80096585 bolemarala ntofontofo haelale eya kae baneng monatebreakfastshow monatebreakfastshow monatebreakfastshow,unknown
284,leighlupindo ho baneng nganweso ha ah sbari,unknown
285,0520 am ereng phefo mo baneng shame ba strong bbmzansi,unknown
286,if my mans loyalty aint like bangwatos mo baneng ba ga seretse then i dont want him,unknown
287,kidoskovich eseng mo baneng ba ga ruta,unknown
288,mpotsols wena le lefa le lahlile mamazalai dont know for the hoae,unknown
289,lefalemao kurumanrc awesome lefa,unknown
290,haoja lefa o thole,unknown
291,ke happy guys okar nka lefa tshelete lebatla bokae,unknown
292,lefaskuman auntyseips sho lefa,unknown
293,corporatemngoma badimo ba lefa glow,unknown
294,lefa89896428 kgaboramoroka1 abuti lefa i do drink alcohol wine and ciders and have no intention of quitting if you are sincerely looking for someone i hope you find the one that is a good fit for you stay blessed,unknown
295,nmthkv serope sago se ya attract nd youre gorgeous,unknown
296,onzadao o ntlogela le mang,unknown
297,nah manha ke fihla haka mehlaena ke ruruha matsoho le maotoi was away for the weekend kele sharpkena le hora tse bo tharo ke fihlile mona ntho tsane di qalile,unknown
298,bathong moruti loveydovey,unknown
299,bigboitamane skedokeemz eh moruti,unknown
300,kea91492014 jeremiahyeshua comamierdasa moruti is blocking everyone these days im even afraid to comment on his tl,unknown
301,oupakev mme moruti wa mangwa hae,unknown
302,destinyzee they gave moruti an uppercut,unknown
303,destinyzee deepprince55 mmusimaimane ediblebloke moruti le yena so unexpected my goodness queen i couldnt just pass,unknown
304,pertinent questions there ntate morutidont hold ya breath to receiving any response,unknown
305,mmusimaimane hai futsek wena moruti wa tsotsi ur the enemy of progress,unknown
306,callmethaboo2nd aowa moruti,unknown
307,between moruti le letagwa o tshepa mang kago bua nnete,unknown
308,mmusimaimane moruti you not giving context how did it get here and where was he going with this as a man who really fights for the people propaganda shouldnt be one of your tactics,unknown
309,lisasayssa1st he thinks he is smart we see where he is going with this tweetmoruti wa tsotsi,unknown
310,pastorthys go monate marriagiville moruti,unknown
311,kegomod03061209 wena these days otswile taolong,unknown
312,tshepangmadome nyaa mma ga ke mmatle next question please a rre wa palama kana o bonya monnamogolo a be a itomaka diteme a sa tlhaloganye potso,unknown
313,ha hona hore kore ha hona hore nka tswa kesa bapala ena letla ntshwarela never prodigal son cadamgaga,unknown
314,kea mo kwiia though nka screama gore if my mom wore my nikes,unknown
315,khanyiwith nna all im saying ke gore ke ya mo kwiia ka batho ba bush,unknown
316,dont video call me at night ase nna ngwanaa mmago,unknown
317,these are the same parents that think they can speak to anyone yaka ba rata because ngwana ga tshwanna go arabisa mogoloke go shapa le mmago,unknown
318,iamkarabo thats what your government is good for empowering foreigners and letting its people suffer imagine mmago a go tima dijo a ya go ha ngwana wa neighbour,unknown
319,enca mmago nnyo pro o dithala,unknown
320,mmakonem the comments are killing me ngl south africa is never dull mara nna kere ke mmago mang mang,unknown
321,mmachueneb thanks for the follow mfoka maloba,unknown
322,bathong a water pump that was first invented in 1982 was introduced maloba ko motseng wa shorobe le gone thats a hand pump bathong tota gatwe re tlhabologa leng next year tla bo ba nwa rust i know akere,unknown
323,ive been thinking about this human being a lot latelymaloba ke raa my boy ke re i really this person o nthaa a re e le gore ke gone o lemogang,unknown
324,ke dirile jalo le nna maloba ke ha sahyli a sa bate ke mmaya on the bed ha ke re ke a mmaya o a thanya a bo a lela and go le worse ka gore ne ke otsela tota ke lapile baby girl ene ka nako eo she is asleep,unknown
325,afritumic yoh nna ke rekile motlakase wa klippa gwa tswa 32 units maloba re mo mathateng tlheng,unknown
326,kennedyleeroy o gakologelwa maloba o re o tla nkapela,unknown
327,raulbryanbw gao re enele ka dinao akere maloba ne o re ba go gobaditse,unknown
328,maloba i was telling baby gore trying to put baby girl to sleep sometimes ends up putting both of us to sleep yesterday and today shes been putting her nanny to sleep as well soon as the nanny puts her down she too passes out,unknown
329,rambe1998 mostabaka samuelwkgole waiii maloba ke bone o bua sekgalagadi moo abo kere ae o chenchitse mfana banna,unknown
330,the guy wa maloba kere gatwe o rapile bomme ba babedi today o rapile 3 1 side ya sebele2 ha side ya flyover towards passage ya tawana fnb park,unknown
331,yourgirldibamzo maloba o ganne ka oomf wa 3 rounds bame let us go through the corners in peace pls,unknown
332,maloba ke dirile passport phakela ka 8am maitseboa ka 5pm ke ha ke tlola ka yone,unknown
333,tokafatjotoka aowa le ka se heme baby sis hope your day maloba was all things beautifull,unknown
334,ndeuyapo kana i saw the cans in one of your stories maloba why do you want to keep it a secret guide us which one is the girlie she thinks she is,unknown
335,thecleanerbw tested maloba ya bora,unknown
336,carolinerathabe spongebob o nchitxe mahlo,unknown
337,kamoso fenfenas wame ga bula mahlo tlabo a rakana le ditedu tsaga daddy ohhhhh shit,unknown
338,drphomolo mahlo ao a ntlema direthe,unknown
